ID,Location,Track,Week,Rating (Num),Schedule Pacing,Year
134,San Francisco,"Apps, Explorer",1,3,3,2017
36,Los Angeles,Apps,1,4,4,2017
117,San Francisco,Games,1,4,1,2017
253,,,2,4,4,2017
350,New York City,"Apps, Explorer",1,4,3,2017
23,Redwood City,Apps,1,5,3,2017
28,Los Angeles,Apps,7,5,3,2017
65,San Francisco,Apps,1,5,2,2017
101,Santa Clara,Apps,1,5,2,2017
124,Santa Clara,Apps,1,5,3,2017
157,Redwood City,Apps,2,5,3,2017
170,Oakland,Apps,2,5,3,2017
255,San Francisco,Apps,2,5,5,2017
289,Washington DC,Apps,1,5,3,2017
299,Washington DC,"Apps, Explorer",1,5,2,2017
307,,,3,5,2,2017
319,Redwood City,Apps,3,5,3,2017
336,New York City,Apps,1,5,2,2017
441,San Francisco,"Apps, Explorer",3,5,3,2017
482,Santa Clara,Apps,3,5,3,2017
37,Los Angeles,Games,1,6,3,2017
41,Chicago,"Apps, Explorer",1,6,3,2017
45,Chicago,Apps,1,6,2,2017
47,Chicago,Apps,1,6,2,2017
77,San Francisco,Apps,1,6,4,2017
78,San Francisco,Apps,1,6,4,2017
94,San Francisco,"Apps, Explorer",1,6,3,2017
193,Santa Clara,Apps,2,6,3,2017
251,San Francisco,"Apps, Explorer",2,6,3,2017
254,San Francisco,Apps,2,6,5,2017
276,Santa Clara,Apps,2,6,3,2017
294,Washington DC,Apps,1,6,5,2017
314,Redwood City,Apps,3,6,2,2017
340,,,1,6,2,2017
347,New York City,Games,1,6,4,2017
349,New York City,Apps,1,6,3,2017
397,Santa Clara,Games,3,6,1,2017
429,Santa Clara,Apps,3,6,3,2017
438,San Francisco,"Apps, Explorer",3,6,3,2017
452,San Francisco,Apps,3,6,5,2017
455,San Francisco,"Apps, Explorer",3,6,3,2017
472,San Francisco,Apps,3,6,4,2017
484,Oakland,Apps,3,6,2,2017
489,,,1,6,2,2017
20,Redwood City,Apps,1,7,2,2017
26,Los Angeles,Apps,1,7,4,2017
35,Los Angeles,Apps,1,7,3,2017
38,Chicago,Apps,1,7,4,2017
48,San Francisco,VR,1,7,2,2017
62,San Francisco,Apps,1,7,4,2017
67,San Francisco,Apps,1,7,3,2017
72,San Francisco,Apps,1,7,4,2017
75,San Francisco,Apps,1,7,4,2017
85,Santa Clara,Apps,1,7,4,2017
87,San Francisco,Apps,1,7,4,2017
104,San Francisco,"Apps, Explorer",1,7,4,2017
107,San Francisco,Games,1,7,3,2017
118,San Francisco,"Apps, Explorer",1,7,3,2017
122,Santa Clara,Apps,1,7,3,2017
136,San Francisco,"Apps, Explorer",1,7,3,2017
140,San Francisco,"Apps, Explorer",1,7,4,2017
155,San Francisco,Apps,1,7,3,2017
162,Redwood City,Apps,2,7,3,2017
175,Chicago,Apps,2,7,2,2017
192,Santa Clara,Apps,2,7,3,2017
199,Santa Clara,Apps,2,7,4,2017
222,Los Angeles,Apps,2,7,4,2017
223,San Francisco,"Apps, Explorer",2,7,3,2017
226,San Francisco,"Apps, Explorer",2,7,3,2017
247,San Francisco,"Apps, Explorer",2,7,3,2017
249,San Francisco,Apps,2,7,4,2017
257,San Francisco,Apps,2,7,4,2017
258,San Francisco,Apps,2,7,4,2017
266,San Francisco,Apps,2,7,4,2017
270,San Francisco,Games,2,7,3,2017
287,Atlanta,"Apps, Explorer",2,7,4,2017
295,Washington DC,Apps,1,7,3,2017
305,Oakland,Apps,2,7,2,2017
318,Redwood City,Apps,3,7,3,2017
327,Redwood City,Apps,3,7,3,2017
329,Washington DC,Apps,2,7,3,2017
339,New York City,Apps,1,7,3,2017
343,New York City,Apps,1,7,2,2017
344,New York City,Games,1,7,3,2017
346,New York City,Games,1,7,3,2017
353,New York City,Apps,1,7,3,2017
375,Chicago,Apps,3,7,4,2017
380,Chicago,Apps,3,7,4,2017
385,Chicago,"Apps, Explorer",3,7,3,2017
400,Santa Clara,Apps,3,7,4,2017
443,Santa Clara,Apps,3,7,2,2017
446,San Francisco,Apps,3,7,3,2017
459,Santa Clara,Apps,3,7,4,2017
465,,,3,7,3,2017
486,Washington DC,Apps,2,7,5,2017
497,New York City,"Apps, Explorer",1,7,3,2017
8,Atlanta,"Apps, Explorer",1,8,3,2017
9,Atlanta,Apps,1,8,3,2017
10,Atlanta,"Apps, Explorer",1,8,3,2017
14,Atlanta,Apps,1,8,2,2017
16,Redwood City,Apps,1,8,2,2017
18,San Francisco,"Apps, Explorer",1,8,5,2017
21,Redwood City,Apps,1,8,2,2017
25,Redwood City,Apps,1,8,3,2017
29,Los Angeles,Apps,1,8,4,2017
31,Los Angeles,Games,1,8,4,2017
39,Chicago,Apps,1,8,4,2017
40,Chicago,Apps,1,8,3,2017
46,Chicago,"Apps, Explorer",1,8,3,2017
53,San Francisco,VR,1,8,3,2017
55,San Francisco,VR,1,8,3,2017
58,San Francisco,Apps,1,8,3,2017
61,San Francisco,Apps,1,8,4,2017
63,San Francisco,Apps,1,8,3,2017
74,San Francisco,"Apps, Explorer",1,8,2,2017
80,Santa Clara,Apps,1,8,3,2017
81,San Francisco,"Apps, Explorer",1,8,3,2017
83,Oakland,Apps,1,8,4,2017
84,Santa Clara,Games,1,8,3,2017
86,Santa Clara,Apps,1,8,3,2017
88,Santa Clara,Games,1,8,2,2017
90,Santa Clara,Apps,1,8,2,2017
91,Santa Clara,Apps,1,8,2,2017
92,Santa Clara,Games,1,8,3,2017
95,Santa Clara,"Apps, Explorer",1,8,3,2017
96,Santa Clara,Apps,1,8,3,2017
99,Santa Clara,"Apps, Explorer",1,8,3,2017
100,Santa Clara,"Apps, Explorer",1,8,3,2017
105,Oakland,Apps,1,8,4,2017
109,San Francisco,Games,1,8,3,2017
114,Santa Clara,Games,1,8,3,2017
115,San Francisco,Games,1,8,2,2017
121,San Francisco,Games,1,8,2,2017
125,Santa Clara,Games,1,8,3,2017
126,Oakland,Apps,1,8,4,2017
130,San Francisco,Apps,1,8,3,2017
132,San Francisco,Games,1,8,3,2017
133,San Francisco,Apps,1,8,4,2017
135,San Francisco,"Apps, Explorer",1,8,3,2017
137,San Francisco,"Apps, Explorer",1,8,2,2017
147,Santa Clara,Apps,1,8,4,2017
153,Santa Clara,Games,1,8,2,2017
159,Redwood City,Apps,2,8,2,2017
161,Redwood City,Apps,2,8,4,2017
163,Redwood City,Apps,2,8,4,2017
173,Chicago,Apps,2,8,3,2017
176,Chicago,"Apps, Explorer",2,8,4,2017
180,Santa Clara,Apps,2,8,4,2017
181,Santa Clara,Apps,2,8,4,2017
